,mbid,Song,Artist,Album,Date,Year,Month,User
0,,thursday drive,Ford.,The Color of Nothing (Reprise),2022-11-15 22:51:00,2022,11,wuhuspringfield
1,cd9f30c8-61c8-4ae1-9bff-746b97a75304,Stardust,Alex Lustig,Room for Thought,2022-11-15 22:49:00,2022,11,wuhuspringfield
2,c9b4dc7b-7d93-40d0-a336-29e8d08feb84,bedford falls,Ford.,Bedford Falls,2022-11-15 22:45:00,2022,11,wuhuspringfield
3,0dada4c3-2c28-4c0d-a158-54b89e3739c9,Schau mich nicht so an,Lotte,Schau mich nicht so an,2022-11-15 22:41:00,2022,11,wuhuspringfield
4,0dada4c3-2c28-4c0d-a158-54b89e3739c9,Schau mich nicht so an,Lotte,Glück,2022-11-15 22:38:00,2022,11,wuhuspringfield
5,,VIEL ZU VIEL (NICHT GENUG) - Akustik Version,Lotte,VIEL ZU VIEL (NICHT GENUG) [Akustik Version],2022-11-15 22:29:00,2022,11,wuhuspringfield
6,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-15 17:52:00,2022,11,wuhuspringfield
7,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-15 17:50:00,2022,11,wuhuspringfield
8,,Own Cloud,Kyson,Lucky Notes,2022-11-15 17:48:00,2022,11,wuhuspringfield
9,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-14 21:48:00,2022,11,wuhuspringfield
10,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-14 21:45:00,2022,11,wuhuspringfield
11,,Own Cloud,Kyson,Lucky Notes,2022-11-14 21:43:00,2022,11,wuhuspringfield
12,e001a424-236b-477d-8f96-d66411e24244,Tell Me A Joke,Quadeca,Tell Me A Joke,2022-11-14 17:10:00,2022,11,wuhuspringfield
13,025bce66-f0bf-49ad-b234-fdea98b08ab4,Deep in a Dream of You,Joey Pecoraro,Deep in a Dream of You,2022-11-14 17:07:00,2022,11,wuhuspringfield
14,92c1660a-d0ae-4867-868e-876f12a7be5d,Lovely,Joey Pecoraro,Lovely,2022-11-14 17:03:00,2022,11,wuhuspringfield
15,257b6a0a-9d31-4710-86c0-67cf34c0793e,Tired Boy,Joey Pecoraro,Tired Boy,2022-11-14 16:58:00,2022,11,wuhuspringfield
16,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-14 16:53:00,2022,11,wuhuspringfield
17,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-14 16:51:00,2022,11,wuhuspringfield
18,,Own Cloud,Kyson,Lucky Notes,2022-11-14 16:48:00,2022,11,wuhuspringfield
19,45b68047-a9d5-46b4-8e60-bb9f534ee84b,Moon and Back,Alice Kristiansen,Moon and Back,2022-11-14 16:45:00,2022,11,wuhuspringfield
20,,Cherries,The Nicholas,Cherries,2022-11-14 15:14:00,2022,11,wuhuspringfield
21,,Oceans,GASHI,ELEVATORS,2022-11-14 15:10:00,2022,11,wuhuspringfield
22,,Say It Again,mikey mike,"Life on Earth, Vol. 2",2022-11-14 15:07:00,2022,11,wuhuspringfield
23,,dead in the water,ChrispyD,dead in the water,2022-11-14 03:46:00,2022,11,wuhuspringfield
24,,28,Jack Kays,Cessation,2022-11-14 03:42:00,2022,11,wuhuspringfield
25,,Cherries,The Nicholas,Cherries,2022-11-14 03:39:00,2022,11,wuhuspringfield
26,,Oceans,GASHI,ELEVATORS,2022-11-14 03:35:00,2022,11,wuhuspringfield
27,025bce66-f0bf-49ad-b234-fdea98b08ab4,Deep in a Dream of You,Joey Pecoraro,Deep in a Dream of You,2022-11-14 02:23:00,2022,11,wuhuspringfield
28,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-14 02:03:00,2022,11,wuhuspringfield
29,,Own Cloud,Kyson,Lucky Notes,2022-11-14 02:01:00,2022,11,wuhuspringfield
30,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-13 20:51:00,2022,11,wuhuspringfield
31,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-13 20:49:00,2022,11,wuhuspringfield
32,,Own Cloud,Kyson,Lucky Notes,2022-11-13 20:47:00,2022,11,wuhuspringfield
33,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-13 01:02:00,2022,11,wuhuspringfield
34,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-13 01:00:00,2022,11,wuhuspringfield
35,,Own Cloud,Kyson,Lucky Notes,2022-11-13 00:57:00,2022,11,wuhuspringfield
36,,Own Cloud,Kyson,Lucky Notes,2022-11-13 00:53:00,2022,11,wuhuspringfield
37,,Double Take,Taska Black,Double Take,2022-11-12 06:31:00,2022,11,wuhuspringfield
38,,The Bells,Jerry Folk,Castle Tapes,2022-11-12 06:29:00,2022,11,wuhuspringfield
39,f2dfff1e-903b-4817-955a-26798fd84104,The Overlook,Koresma,The Overlook,2022-11-12 06:25:00,2022,11,wuhuspringfield
40,,11:11,Andrew Applepie,2019,2022-11-12 06:21:00,2022,11,wuhuspringfield
41,,Your Apartment,Mark Diamond,Your Apartment,2022-11-12 06:19:00,2022,11,wuhuspringfield
