,mbid,Song,Artist,Album,Date,Year,Month
0,2df1b09b-f6a5-438b-bbf5-cbe32243aa14,Let's Hurt Tonight,OneRepublic,Oh My My,2022-10-21 09:46:00,2022,10
1,0196b5fe-fc2f-3f6b-9d25-60d815ddeb13,All the Right Moves,OneRepublic,Waking Up (International Deluxe Version),2022-10-21 09:41:00,2022,10
2,016b8491-4702-402b-91ef-af6f8146f606,Something I Need,OneRepublic,Native,2022-10-21 09:37:00,2022,10
3,,Counting Stars,OneRepublic,Native,2022-10-21 09:33:00,2022,10
4,194dfe35-fe42-456d-bc96-a18b11476f0b,Wherever I Go,OneRepublic,Wherever I Go,2022-10-20 13:43:00,2022,10
5,b6df27b9-afa4-4da3-be45-bd6751d4ac8b,Secrets,OneRepublic,Waking Up (International Deluxe Version),2022-10-20 13:39:00,2022,10
6,0196b5fe-fc2f-3f6b-9d25-60d815ddeb13,All the Right Moves,OneRepublic,Waking Up (International Deluxe Version),2022-10-20 13:35:00,2022,10
7,02a5ab3b-4824-49e2-9866-29ca671f430d,Marchin On,OneRepublic,Waking Up,2022-10-20 13:31:00,2022,10
8,020abfa8-d41a-4f45-9061-b6321628798d,Good Life,OneRepublic,Waking Up,2022-10-20 13:27:00,2022,10
9,9b9c8b83-c91f-4511-9a95-c73673b9e5be,Sunshine,OneRepublic,Sunshine,2022-10-20 13:24:00,2022,10
10,,Start Again (feat. Logic),OneRepublic,Start Again,2022-10-20 13:21:00,2022,10
11,,Summertime in Paris,Jaden,ERYS (Deluxe),2022-10-20 13:14:00,2022,10
12,,mama i'm so sorry..,Josh Golden,mama i'm so sorry..,2022-10-20 13:12:00,2022,10
13,5cd7471b-9d2e-356e-bd18-4de04ed95175,Found a Way,Drake Bell,Telegraph,2022-10-20 13:09:00,2022,10
14,ef3aa49d-d674-4659-a21e-5494883e1120,Never Let Me Down,Kanye West,The College Dropout,2022-10-20 13:01:00,2022,10
15,1a9460b3-314f-4aba-826b-c8288a19d793,I'm Gonna Be,Post Malone,Hollywood's Bleeding,2022-10-20 12:57:00,2022,10
16,b6df27b9-afa4-4da3-be45-bd6751d4ac8b,Secrets,OneRepublic,Waking Up,2022-10-20 12:48:00,2022,10
17,f5c3f899-5c7d-4857-8808-39b9afb72cf7,West Coast,OneRepublic,West Coast,2022-10-20 12:45:00,2022,10
18,9b9c8b83-c91f-4511-9a95-c73673b9e5be,Sunshine,OneRepublic,Sunshine,2022-10-20 12:42:00,2022,10
19,,Counting Stars,OneRepublic,Native,2022-10-20 12:38:00,2022,10
20,eff0d22b-fe0c-45ea-88a7-1295f56d76f5,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-10-20 12:35:00,2022,10
21,020abfa8-d41a-4f45-9061-b6321628798d,Good Life,OneRepublic,Waking Up,2022-10-20 12:27:00,2022,10
22,,Counting Stars,OneRepublic,Native,2022-10-20 12:22:00,2022,10
23,789c26ef-8674-4357-b8fe-7e19bd77374a,Run,OneRepublic,Human (Deluxe),2022-10-20 12:19:00,2022,10
24,789c26ef-8674-4357-b8fe-7e19bd77374a,Run,OneRepublic,Human (Deluxe),2022-10-20 10:12:00,2022,10
25,,When the Saints Go Marching In,Louis Armstrong,C'est Si Bon,2022-10-20 10:10:00,2022,10
26,,You Right,Doja Cat,Planet Her,2022-10-20 10:07:00,2022,10
27,,Counting Stars,OneRepublic,Native,2022-10-20 10:03:00,2022,10
28,789c26ef-8674-4357-b8fe-7e19bd77374a,Run,OneRepublic,Human (Deluxe),2022-10-20 10:00:00,2022,10
