,mbid,Song,Artist,Album,Date,Year,Month,User
0,325b18da-a192-4ddb-b1cd-f2bf64f06376,go with u,BAYNK,Someone's EP II,2022-11-30 00:27:00,2022,11,wuhuspringfield
1,,Bitter,FLETCHER,Bitter,2022-11-30 00:24:00,2022,11,wuhuspringfield
2,,All in My Feelings - BAYNK Remix,Harloe,All in My Feelings (Remixes),2022-11-30 00:20:00,2022,11,wuhuspringfield
3,,All in My Feelings - BAYNK Remix,Harloe,All in My Feelings (Remixes),2022-11-29 23:04:00,2022,11,wuhuspringfield
4,,Hamza Allah,willro,BUNGUS,2022-11-29 23:01:00,2022,11,wuhuspringfield
5,1228a7a0-30b4-47e7-ab1d-54e32b639015,Home,Edward Sharpe & The Magnetic Zeros,Up From Below,2022-11-29 21:53:00,2022,11,wuhuspringfield
6,,Coming Off (w/ Brevin Kim),Phazzze,Coming Off (w/ Brevin Kim),2022-11-29 21:50:00,2022,11,wuhuspringfield
7,,OCD,Eryn Martin,OCD,2022-11-29 21:13:00,2022,11,wuhuspringfield
8,,Pain,Wilhelm,Pain,2022-11-29 21:11:00,2022,11,wuhuspringfield
9,,Coming Off (w/ Brevin Kim),Phazzze,Coming Off (w/ Brevin Kim),2022-11-29 21:08:00,2022,11,wuhuspringfield
10,,Wildflowers,Haiva ru,Bloom Baby Bloom,2022-11-29 21:06:00,2022,11,wuhuspringfield
11,368fe24c-14df-4850-a61e-a6ef58db0102,Stories,Refs,Stories,2022-11-29 21:02:00,2022,11,wuhuspringfield
12,,From Me,Night Cap,From Me,2022-11-29 20:59:00,2022,11,wuhuspringfield
13,,I Think I'm in Tokyo,Dog Orchestra,I Think I'm in Tokyo,2022-11-29 20:55:00,2022,11,wuhuspringfield
14,,Honey,Super Duper,Honey,2022-11-29 20:52:00,2022,11,wuhuspringfield
15,,Out In The Dark,Nel,Out In The Dark,2022-11-29 20:47:00,2022,11,wuhuspringfield
16,,Yearbook (feat. Instupendo & Harry Teardrop),James Ivy,Yearbook (feat. Instupendo & Harry Teardrop),2022-11-29 20:44:00,2022,11,wuhuspringfield
17,,ACOUSCOUS,emawk,ACOUSCOUS,2022-11-29 20:40:00,2022,11,wuhuspringfield
18,,Dreamlord,Emo Fruits,Hotel 7,2022-11-29 20:36:00,2022,11,wuhuspringfield
19,,Falling Asleep,Harpsichord Canvas,Falling Asleep,2022-11-29 20:31:00,2022,11,wuhuspringfield
20,,Neighbourhood Blues,Kerri,Neighbourhood Blues,2022-11-29 20:29:00,2022,11,wuhuspringfield
21,,We Could Be,Zak Leever,We Could Be,2022-11-29 20:25:00,2022,11,wuhuspringfield
22,e55c581f-be50-42aa-9c5e-0789fe908eeb,Going to the Sun,bjéar,Going to the Sun,2022-11-29 20:21:00,2022,11,wuhuspringfield
23,edd53d7b-0b8b-453a-a0e4-bc00a770800f,Surface Tension,Genevieve Stokes,Swimming Lessons,2022-11-29 20:17:00,2022,11,wuhuspringfield
24,,Pinz,Zeonus,Z On Meds,2022-11-29 20:13:00,2022,11,wuhuspringfield
25,fdfb128c-28bc-4a35-81d9-0e6b7b10f29c,Mercury,Mind Bath,Baby You Can Free Your Mind,2022-11-29 20:12:00,2022,11,wuhuspringfield
26,,The Best Moment,J'San,The Best Moment,2022-11-29 15:55:00,2022,11,wuhuspringfield
27,,wubby7,willro,BUNGUS,2022-11-29 15:47:00,2022,11,wuhuspringfield
28,,catJAM,willro,BUNGUS,2022-11-29 15:45:00,2022,11,wuhuspringfield
29,,catJAM,willro,BUNGUS,2022-11-29 14:22:00,2022,11,wuhuspringfield
30,,cool guys,willro,BUNGUS,2022-11-29 13:32:00,2022,11,wuhuspringfield
31,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-28 22:56:00,2022,11,wuhuspringfield
32,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-28 22:50:00,2022,11,wuhuspringfield
33,,Own Cloud,Kyson,Lucky Notes,2022-11-28 22:48:00,2022,11,wuhuspringfield
34,,Intro,Ford.,GOOD COMPANY,2022-11-28 22:46:00,2022,11,wuhuspringfield
35,2742c777-a02b-4638-9b24-2afd67602cd9,Let Me Alone,Moow,I can't tell you how much it hurts,2022-11-28 22:44:00,2022,11,wuhuspringfield
36,,Stop Thinking (feat. Lights),Seven Lions,Stop Thinking (feat. Lights),2022-11-28 22:39:00,2022,11,wuhuspringfield
37,545c7ee2-7638-4146-8ba7-6c5746c8e834,Locked Away (feat. Adam Levine),Rock City,Locked Away (feat. Adam Levine),2022-11-28 22:34:00,2022,11,wuhuspringfield
38,,Coming Off (w/ Brevin Kim),Phazzze,Coming Off (w/ Brevin Kim),2022-11-28 22:30:00,2022,11,wuhuspringfield
39,025bce66-f0bf-49ad-b234-fdea98b08ab4,Deep in a Dream of You,Joey Pecoraro,Deep in a Dream of You,2022-11-28 22:30:00,2022,11,wuhuspringfield
40,92c1660a-d0ae-4867-868e-876f12a7be5d,Lovely,Joey Pecoraro,Lovely,2022-11-28 20:57:00,2022,11,wuhuspringfield
41,257b6a0a-9d31-4710-86c0-67cf34c0793e,Tired Boy,Joey Pecoraro,Tired Boy,2022-11-28 20:53:00,2022,11,wuhuspringfield
42,0c383a5b-3c9b-4797-9984-ffa7dde5c402,Fly on the Wall,Joey Pecoraro,Little Pear,2022-11-28 20:48:00,2022,11,wuhuspringfield
43,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-28 20:43:00,2022,11,wuhuspringfield
44,,Own Cloud,Kyson,Lucky Notes,2022-11-28 20:41:00,2022,11,wuhuspringfield
45,,Intro,Ford.,GOOD COMPANY,2022-11-28 20:04:00,2022,11,wuhuspringfield
46,2742c777-a02b-4638-9b24-2afd67602cd9,Let Me Alone,Moow,I can't tell you how much it hurts,2022-11-28 20:03:00,2022,11,wuhuspringfield
47,9c2757d5-6239-4c61-a191-60276a6e3234,Already Gone,Sleeping at Last,"Covers, Vol. 2",2022-11-28 20:00:00,2022,11,wuhuspringfield
48,,Stop Thinking (feat. Lights),Seven Lions,Stop Thinking (feat. Lights),2022-11-28 19:56:00,2022,11,wuhuspringfield
49,,Float,Bear Grillz,Float,2022-11-28 18:49:00,2022,11,wuhuspringfield
50,,Anti-Hero - Acoustic Version,Taylor Swift,Anti-Hero (Acoustic Version),2022-11-27 15:53:00,2022,11,wuhuspringfield
51,,Own Cloud,Kyson,Lucky Notes,2022-11-27 01:11:00,2022,11,wuhuspringfield
52,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-27 01:05:00,2022,11,wuhuspringfield
53,,Intro,Ford.,GOOD COMPANY,2022-11-27 01:02:00,2022,11,wuhuspringfield
54,095dde4c-31ab-4b1a-afd6-285995d8a62b,666 ʇ,Bon Iver,"22, a Million",2022-11-26 23:33:00,2022,11,wuhuspringfield
55,095dde4c-31ab-4b1a-afd6-285995d8a62b,666 ʇ,Bon Iver,"22, a Million",2022-11-26 22:46:00,2022,11,wuhuspringfield
56,21ba6df4-1777-466f-b73f-dba00624a1d3,Empire State of Mind,JAY-Z,The Blueprint 3,2022-11-26 20:07:00,2022,11,wuhuspringfield
57,75eb072e-5b4e-3e08-8c75-517e1ea86b1a,An Idea for a Movie,The Vandals,"Hitler Bad, Vandals Good",2022-11-26 18:38:00,2022,11,wuhuspringfield
58,8f35837b-4a3c-4dc0-bc56-bcfe068be72f,Pay No Mind,Hanni El Khatib,Head In The Dirt,2022-11-26 18:35:00,2022,11,wuhuspringfield
59,029edaf0-b585-3215-adae-ce357e95b4af,We Are 138,Misfits,Collection 2,2022-11-26 18:33:00,2022,11,wuhuspringfield
60,39918fdb-e508-33b5-8a07-0c0a95eb83c5,Skate or Die,Teenage Bottlerocket,They Came From the Shadows,2022-11-26 18:31:00,2022,11,wuhuspringfield
61,,All My Friends,Camaros,Ladies?,2022-11-26 18:29:00,2022,11,wuhuspringfield
62,3eb527ff-5ef0-4fbc-a6cd-91c8050d39a9,Overdrive,American Sharks,American Sharks,2022-11-26 18:27:00,2022,11,wuhuspringfield
63,,Cheesecake,A Ghost Named Nico,Cheesecake,2022-11-26 18:24:00,2022,11,wuhuspringfield
64,227b58e2-80cf-4360-b753-58372245f7af,Cheesecake,Camaros,Romantique,2022-11-26 18:19:00,2022,11,wuhuspringfield
65,,Cheesecake,Ian Post,Magnetism,2022-11-26 18:16:00,2022,11,wuhuspringfield
66,,Cheesecake,Highway,The Way,2022-11-26 18:14:00,2022,11,wuhuspringfield
67,,Cheesecake,Billy Marchiafava,Cheesecake,2022-11-26 18:12:00,2022,11,wuhuspringfield
68,,Cheesecake,Louis Armstrong,Louis,2022-11-26 18:09:00,2022,11,wuhuspringfield
69,11716f81-01f9-4724-9824-fb3b86251c85,29 #Strafford APTS,Bon Iver,"22, a Million",2022-11-26 18:05:00,2022,11,wuhuspringfield
70,,33 “GOD”,Bon Iver,"22, a Million",2022-11-26 18:01:00,2022,11,wuhuspringfield
71,1b8fceb1-41ce-4bdf-8078-5f683833dd6c,22 (OVER S∞∞N),Bon Iver,"22, a Million",2022-11-26 17:56:00,2022,11,wuhuspringfield
72,095dde4c-31ab-4b1a-afd6-285995d8a62b,666 ʇ,Bon Iver,"22, a Million",2022-11-26 15:20:00,2022,11,wuhuspringfield
73,876d409c-7abb-4d7b-9fdf-200c1d114173,715 - CR∑∑KS,Bon Iver,"22, a Million",2022-11-26 15:17:00,2022,11,wuhuspringfield
74,,Teenage Dirtbag,Wheatus,"Songs from Dawson's Creek, Vol. II",2022-11-26 15:13:00,2022,11,wuhuspringfield
75,0802b190-e24b-48f4-9536-189f8b4533da,Outro,M83,"Hurry Up, We're Dreaming",2022-11-26 15:09:00,2022,11,wuhuspringfield
