,mbid,Song,Artist,Album,Date,Year,Month
0,,Dive,Hot Shade,Dive,2022-10-21 17:04:00,2022,10
1,,Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),2022-10-21 17:01:00,2022,10
2,,Lay It On Me (feat. Keiynan Lonsdale),Kasbo,Places We Don't Know,2022-10-21 16:57:00,2022,10
3,,Jupiterring,Bushido,Jupiterring,2022-10-21 16:51:00,2022,10
4,,Way Too Long,Marlee Gray,Way Too Long,2022-10-21 16:48:00,2022,10
5,,downward spiral,ChrispyD,downward spiral,2022-10-21 16:46:00,2022,10
6,,Pangaea (with blackbear),naliya,Pangaea (with blackbear),2022-10-21 16:43:00,2022,10
7,,I Do (feat. Slush Puppy),Lost Kings,I Do (feat. Slush Puppy),2022-10-21 16:40:00,2022,10
8,,drive-thru,Nate Good,drive-thru,2022-10-21 16:38:00,2022,10
9,,Rested,Attom,Vivid,2022-10-21 16:35:00,2022,10
10,,DREAM,Harrisun,DREAM,2022-10-21 16:32:00,2022,10
11,,Something Different - lofi remix,The Chainsmokers,So Far So Good (lofi remixes),2022-10-21 16:29:00,2022,10
12,,If You Don't Like the Story Write Your Own,Witt Lowry,If You Don't Like the Story Write Your Own,2022-10-21 14:52:00,2022,10
13,,selfish (i wished you hated me),demxntia,selfish (i wished you hated me),2022-10-21 14:49:00,2022,10
14,,Therapy pt. 2 [Feat. Mac Miller],Robert Glasper,Therapy pt. 2 [Feat. Mac Miller],2022-10-21 14:45:00,2022,10
15,,Stuck In Love,Barret Turner,Stuck In Love,2022-10-21 14:41:00,2022,10
16,,Funkshun Part 2,Nige Hood,Funkshun Part 2,2022-10-21 14:38:00,2022,10
17,,Creatures,Taylor Gang,Creatures,2022-10-21 14:35:00,2022,10
18,,"Would You - Live At Hammersmith, UK / Cherry Blossom Tour 2021",The Vamps,10 Years Of The Vamps,2022-10-21 14:32:00,2022,10
19,,HEAVEN,Clear Eyes,HEAVEN,2022-10-21 14:29:00,2022,10
20,,Starved,Zach Bryan,Starved,2022-10-21 14:24:00,2022,10
21,,Joy,mikey mike,Joy,2022-10-21 14:20:00,2022,10
22,,You Should Text Me More Often,Andrew Applepie,You Should Text Me More Often,2022-10-21 14:11:00,2022,10
23,,Worst Day,Illenium,Worst Day,2022-10-21 14:08:00,2022,10
24,,Jupiterring,Bushido,Jupiterring,2022-10-21 14:04:00,2022,10
25,,Way Too Long,Marlee Gray,Way Too Long,2022-10-21 14:01:00,2022,10
26,,downward spiral,ChrispyD,downward spiral,2022-10-21 13:59:00,2022,10
27,,Pangaea (with blackbear),naliya,Pangaea (with blackbear),2022-10-21 13:56:00,2022,10
28,,Racks Stuffed Inna Couch,Chief Keef,Racks Stuffed Inna Couch,2022-10-21 13:53:00,2022,10
29,,I Do (feat. Slush Puppy),Lost Kings,I Do (feat. Slush Puppy),2022-10-21 13:51:00,2022,10
30,,drive-thru,Nate Good,drive-thru,2022-10-21 13:49:00,2022,10
31,,Rested,Attom,Vivid,2022-10-21 13:46:00,2022,10
32,,DREAM,Harrisun,DREAM,2022-10-21 13:43:00,2022,10
33,,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,2022-10-21 13:41:00,2022,10
34,,Something Different - lofi remix,The Chainsmokers,So Far So Good (lofi remixes),2022-10-21 13:38:00,2022,10
35,,Hold On,Ark Patrol,Hold On,2022-10-21 12:08:00,2022,10
36,,"Hi Demons, Bye Demons",Kyson,"Hi Demons, Bye Demons",2022-10-21 12:07:00,2022,10
37,,MINDDD,Pluko,MINDDD,2022-10-21 12:05:00,2022,10
38,,Pay No Mind,Ford.,The Color of Nothing,2022-10-21 12:02:00,2022,10
39,,HEAVEN,Clear Eyes,HEAVEN,2022-10-21 11:58:00,2022,10
40,,bad vibes,Ollie,Sunsets & Goodbyes,2022-10-21 11:56:00,2022,10
41,,You Should Text Me More Often,Andrew Applepie,You Should Text Me More Often,2022-10-21 11:53:00,2022,10
42,492b8108-a121-4b75-b4e5-9d9ad817ee0a,Opals,Catching Flies,Silver Linings,2022-10-21 04:03:00,2022,10
