Year,Month,,User,Year,Month,Artist,Song,Count
2019,1,43,feybmertn,2019,1,Berhana,Janet,4
2019,1,30,feybmertn,2019,1,Avicii,You Make Me,3
2019,1,67,feybmertn,2019,1,Drake,Blue Tint,3
2019,1,17,feybmertn,2019,1,Audrey Assad,O Happy Fault,2
2019,1,18,feybmertn,2019,1,Avicii,Addicted to You,2
2019,2,759,feybmertn,2019,2,Thirty Seconds to Mars,Bright Lights,5
2019,2,765,feybmertn,2019,2,Thirty Seconds to Mars,Do Or Die,4
2019,2,781,feybmertn,2019,2,Thirty Seconds to Mars,Search and Destroy,4
2019,2,374,feybmertn,2019,2,30 Seconds to Mars,Welcome to the Universe,3
2019,2,784,feybmertn,2019,2,Thirty Seconds to Mars,The Race,3
2019,3,868,feybmertn,2019,3,Alan Walker,Spectre,15
2019,3,914,feybmertn,2019,3,Calvin Harris,Blame,11
2019,3,944,feybmertn,2019,3,Dean Lewis,For the Last Time,9
2019,3,1491,feybmertn,2019,3,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",5
2019,3,989,feybmertn,2019,3,Fall Out Boy,"Sugar, We're Goin Down",4
2019,4,1671,feybmertn,2019,4,Gryffin,Remember (with ZOHARA),5
2019,4,1780,feybmertn,2019,4,Khalid,Don't Pretend,3
2019,4,1873,feybmertn,2019,4,Metrickz,Kamikaze,3
2019,4,1913,feybmertn,2019,4,Olivia O'Brien,RIP (feat. G-Eazy & Drew Love),3
2019,4,1964,feybmertn,2019,4,Ruel,Don't Tell Me,3
2019,5,2235,feybmertn,2019,5,Hooverphonic,Mad About You - Orchestra Version,9
2019,5,2133,feybmertn,2019,5,Caro Emerald,I Belong To You,8
2019,5,2141,feybmertn,2019,5,Christina Aguilera,Beautiful,8
2019,5,2348,feybmertn,2019,5,Kid Cudi,These Worries,7
2019,5,2248,feybmertn,2019,5,Ivy Quainoo,Do You Like What You See,5
2019,6,2804,feybmertn,2019,6,Drake,Omertà,12
2019,6,2774,feybmertn,2019,6,Dastic,Queen Of A Lonely Heart (feat. Lourdiz),2
2019,6,2812,feybmertn,2019,6,Drake,VIEWS,2
2019,6,3190,feybmertn,2019,6,Simple Plan,Singing in the Rain (feat. R. City),2
2019,6,3206,feybmertn,2019,6,The 1975,Give Yourself a Try,2
2019,7,3381,feybmertn,2019,7,Ed Sheeran,Antisocial (with Travis Scott),2
2019,7,3589,feybmertn,2019,7,NF,Time - Extended,2
2019,7,3785,feybmertn,2019,7,twenty one pilots,Oh Ms Believer,2
2019,7,3327,feybmertn,2019,7,A$AP Rocky,Peso,1
2019,7,3361,feybmertn,2019,7,Charly Black,Gyal You A Party Animal,1
2019,8,3977,feybmertn,2019,8,Macklemore,Shadow (feat. IRO) [From Songland],7
2019,8,3867,feybmertn,2019,8,Future,Astronauts,3
2019,8,4127,feybmertn,2019,8,Sum 41,Thanks for Nothing,2
2019,8,3809,feybmertn,2019,8,BTS,All Night (BTS World Original Soundtrack) [Pt. 3],1
2019,8,3810,feybmertn,2019,8,Baby Boy Da Prince,The Way I Live - Main Explicit,1
2019,9,4443,feybmertn,2019,9,Modeselektor,This - Radio Edit,6
2019,9,4482,feybmertn,2019,9,Post Malone,Im Gonna Be,3
2019,9,4224,feybmertn,2019,9,Beach House,Lemon Glow,1
2019,9,4268,feybmertn,2019,9,G-Eazy,Some Kind Of Drug,1
2019,9,4287,feybmertn,2019,9,Hozier,"Better Love - From ""The Legend Of Tarzan"" Original Motion Picture Soundtrack / Single Version",1
2019,10,4832,feybmertn,2019,10,Kanye West,Jesus Is Lord,2
2019,10,4674,feybmertn,2019,10,50 Cent,If I Can't,1
2019,10,4684,feybmertn,2019,10,Adele,Skyfall - Full Length,1
2019,10,4746,feybmertn,2019,10,Explosions in the Sky,Your Hand in Mine,1
2019,10,4760,feybmertn,2019,10,Halsey,Graveyard,1
2019,11,5304,feybmertn,2019,11,Dreamville,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),3
2019,11,5764,feybmertn,2019,11,Saba,CALLIGRAPHY,3
2019,11,5266,feybmertn,2019,11,Bring Me the Horizon,medicine,2
2019,11,5312,feybmertn,2019,11,Eden,crash,2
2019,11,5363,feybmertn,2019,11,J. Cole,Motiv8,2
2019,12,6177,feybmertn,2019,12,Kelly Clarkson,Breakaway,7
2019,12,6074,feybmertn,2019,12,JAY Z,No Church In The Wild,5
2019,12,6073,feybmertn,2019,12,JAY Z,Ni**as In Paris,4
2019,12,6568,feybmertn,2019,12,Zedd,Stay the Night - featuring Hayley Williams of Paramore,4
2019,12,6072,feybmertn,2019,12,JAY Z,Holy Grail,3
2020,1,6716,feybmertn,2020,1,Khalid,8TEEN,4
2020,1,6739,feybmertn,2020,1,Khalid,Saved,2
2020,1,6788,feybmertn,2020,1,Lox Chatterbox,Confess,2
2020,1,6797,feybmertn,2020,1,Majid Jordan,Caught Up (feat. Khalid),2
2020,1,6815,feybmertn,2020,1,Nines,Oh My,2
2020,2,7145,feybmertn,2020,2,J. Cole,03' Adolescence,2
2020,2,7311,feybmertn,2020,2,Mild High Club,Note To Self,2
2020,2,7049,feybmertn,2020,2,Andy Shauf,The Magician,1
2020,2,7051,feybmertn,2020,2,Anuel AA,Keii,1
2020,2,7052,feybmertn,2020,2,Anuel AA,Secreto,1
2020,3,7846,feybmertn,2020,3,Lil Uzi Vert,Money Longer,6
2020,3,7659,feybmertn,2020,3,Diplo,Lonely (with Jonas Brothers),2
2020,3,7738,feybmertn,2020,3,Jay Rock,OSOM (feat. J. Cole),2
2020,3,7847,feybmertn,2020,3,Lil Uzi Vert,Moon Relate,2
2020,3,7931,feybmertn,2020,3,Pond,The Weather,2
2020,4,8327,feybmertn,2020,4,Enrique Iglesias,DUELE EL CORAZON,26
2020,4,8305,feybmertn,2020,4,Dvicio,Qué Tienes Tú,14
2020,4,8332,feybmertn,2020,4,Enrique Iglesias,Subeme la radio,9
2020,4,8911,feybmertn,2020,4,Tory Lanez,Freaky,9
2020,4,8348,feybmertn,2020,4,George Ezra,Paradise,4
2020,5,9281,feybmertn,2020,5,Jon Brion,Song For Caden,14
2020,5,9002,feybmertn,2020,5,Arashi,Turning Up (R3HAB Remix),6
2020,5,9312,feybmertn,2020,5,KYLE,Hey Julie! (feat. Lil Yachty),5
2020,5,9006,feybmertn,2020,5,Ariana Grande,God is a woman,4
2020,5,9010,feybmertn,2020,5,Ariana Grande,Stuck with U (with Justin Bieber),2
2020,6,10443,feybmertn,2020,6,Manu Pilas,Bella Ciao - Versión Lenta de la Música Original de la Serie la Casa de Papel / Money Heist,5
2020,6,10018,feybmertn,2020,6,6LACK,Outside,4
2020,6,10675,feybmertn,2020,6,RudeLies,We Never Lie,2
2020,6,10686,feybmertn,2020,6,Sebastian Ingrosso,Reload - Radio Edit,2
2020,6,10822,feybmertn,2020,6,XXXTENTACION,before i close my eyes,2
2020,7,10973,feybmertn,2020,7,Eden,nowhere else,2
2020,7,11357,feybmertn,2020,7,Wrabel,Into The Wild,2
2020,7,10932,feybmertn,2020,7,Black Eyed Peas,Mamacita,1
2020,7,10937,feybmertn,2020,7,Bush,Glycerine - Remastered,1
2020,7,10939,feybmertn,2020,7,CHVSE,Blackout,1
2020,8,11941,feybmertn,2020,8,YUNGBLUD,weird!,19
2020,8,11929,feybmertn,2020,8,XXXTENTACION,YuNg BrAtZ,3
2020,8,11494,feybmertn,2020,8,Flo Rida,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,2
2020,8,11821,feybmertn,2020,8,Ronny J,Banded Up (feat. XXXTENTACION),2
2020,8,11841,feybmertn,2020,8,Stone Sour,Imperfect,2
2020,9,11993,feybmertn,2020,9,Adele,Hello,9
2020,9,12552,feybmertn,2020,9,blackbear,queen of broken hearts,6
2020,9,12337,feybmertn,2020,9,PARTYNEXTDOOR,LOYAL (feat. Drake),3
2020,9,11995,feybmertn,2020,9,Adele,Rolling in the Deep,2
2020,9,12072,feybmertn,2020,9,Drake,Gyalchester,2
2020,10,12692,feybmertn,2020,10,DJ DENZ The Rooster,Top of the CN Tower,4
2020,10,12793,feybmertn,2020,10,Jakuzi,Koca Bir Sacmalik,3
2020,10,13174,feybmertn,2020,10,Summer Walker,Like It (with 6LACK),3
2020,10,12628,feybmertn,2020,10,Aretha Franklin,Bridge Over Troubled Water,2
2020,10,12644,feybmertn,2020,10,Au Revoir Simone,Shadows,2
2020,11,13900,feybmertn,2020,11,The Kid LAROI,FEEL SOMETHING,18
2020,11,13494,feybmertn,2020,11,Jacquees,B.E.D.,10
2020,11,13804,feybmertn,2020,11,Radiohead,Packt Like Sardines in a Crushd Tin Box,8
2020,11,13973,feybmertn,2020,11,Wale,Lotus Flower Bomb (feat. Miguel),5
2020,11,13680,feybmertn,2020,11,Matt Maeson,Hallucinogenics,2
2020,12,14073,feybmertn,2020,12,Aminé,RiRi,23
2020,12,14356,feybmertn,2020,12,Mac Miller,Jet Fuel,6
2020,12,14409,feybmertn,2020,12,Nirvana,Come as You Are,6
2020,12,14407,feybmertn,2020,12,Nirvana,About a Girl,3
2020,12,14412,feybmertn,2020,12,Nirvana,Heart-Shaped Box,3
2021,1,15080,feybmertn,2021,1,Rise Against,Endgame,4
2021,1,15094,feybmertn,2021,1,Rise Against,Midnight Hands,4
2021,1,15103,feybmertn,2021,1,Rise Against,Survivor Guilt,4
2021,1,14915,feybmertn,2021,1,Marshmello,Be Kind (with Halsey),3
2021,1,15124,feybmertn,2021,1,SYML,Where's My Love,2
2021,2,15526,feybmertn,2021,2,ROOZ,Immer wieder (feat. MoTrip),7
2021,2,15248,feybmertn,2021,2,Andreas Bourani,Nur in meinem Kopf - Radio Edit,3
2021,2,15299,feybmertn,2021,2,Chris Stapleton,Cold,3
2021,2,15679,feybmertn,2021,2,gnash,dear insecurity (feat. Ben Abraham),3
2021,2,15298,feybmertn,2021,2,Charlie Burg,Lovesong (The Way) [feat. Bluets],2
2021,3,16007,feybmertn,2021,3,Max Richter,November,9
2021,3,15978,feybmertn,2021,3,Mac Miller,Blue World,4
2021,3,15804,feybmertn,2021,3,Daughter,Youth,2
2021,3,15987,feybmertn,2021,3,Macklemore,Castle,2
2021,3,16114,feybmertn,2021,3,Radiohead,True Love Waits - Live In Oslo,2
2021,4,16694,feybmertn,2021,4,Ooyy,Gelatin Nature,13
2021,4,16464,feybmertn,2021,4,Fer Palacio,Previa y Cachengue 33 - Remix,5
2021,4,16350,feybmertn,2021,4,Bethel Music,It Is Well,4
2021,4,16397,feybmertn,2021,4,Chris Brown,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",4
2021,4,16634,feybmertn,2021,4,Maluma,Hawái,4
2021,5,17099,feybmertn,2021,5,Billie Eilish,Your Power,15
2021,5,17118,feybmertn,2021,5,Boundary Run,Swept Away,7
2021,5,17105,feybmertn,2021,5,Boundary Run,Beggars,6
2021,5,17117,feybmertn,2021,5,Boundary Run,Sailing Ships,6
2021,5,17109,feybmertn,2021,5,Boundary Run,Keep Me Safe,5
2021,6,18046,feybmertn,2021,6,The Neighbourhood,Cry Baby,10
2021,6,17877,feybmertn,2021,6,Little Richard,Long Tall Sally (The Thing),8
2021,6,18050,feybmertn,2021,6,The Neighbourhood,Pretty Boy,7
2021,6,18058,feybmertn,2021,6,The Neighbourhood,West Coast,7
2021,6,17706,feybmertn,2021,6,Creedence Clearwater Revival,Lookin' Out My Back Door,6
2021,7,18535,feybmertn,2021,7,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,5
2021,7,18177,feybmertn,2021,7,Antonio Vivaldi,"The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto",4
2021,7,18174,feybmertn,2021,7,Allen French,Nova Vida,3
2021,7,18256,feybmertn,2021,7,Die Toten Hosen,Bayern,3
2021,7,18680,feybmertn,2021,7,The Rolling Stones,Fool To Cry - Remastered 2009,3
