Date_month,,User,Date_month,Artist,Song,Count
2022-02,174,feybmertn,2022-02,Jutes,Start Over,3
2022-02,225,feybmertn,2022-02,Kanye West,School Spirit Skit 1,3
2022-02,340,feybmertn,2022-02,Still Woozy,Habit,3
2022-02,11,feybmertn,2022-02,Alessia Cara,"How Far I'll Go - From ""Moana""",2
2022-02,151,feybmertn,2022-02,James Ivy,Pushin' Thru It,2
2022-03,588,feybmertn,2022-03,Illenium,Reverie,16
2022-03,576,feybmertn,2022-03,Gavin James,Coming Home,13
2022-03,520,feybmertn,2022-03,Charli XCX,1999,3
2022-03,529,feybmertn,2022-03,Charli XCX,Silver Cross,3
2022-03,600,feybmertn,2022-03,Jaden,Ninety,3
2022-04,1334,feybmertn,2022-04,Polo G,21,9
2022-04,1310,feybmertn,2022-04,Nas,If I Ruled The World (Imagine That) (feat. Lauryn Hill),4
2022-04,1476,feybmertn,2022-04,cypress,Take Me Back,4
2022-04,1100,feybmertn,2022-04,Dean Lewis,Waves,3
2022-04,1135,feybmertn,2022-04,Eden,XO,3
2022-05,1593,feybmertn,2022-05,Kendrick Lamar,Silent Hill,8
2022-05,1586,feybmertn,2022-05,Kendrick Lamar,Mr. Morale,7
2022-05,1514,feybmertn,2022-05,Charlie Day,Spider Song - It’s Always Sunny in Philadelphia,5
2022-05,1567,feybmertn,2022-05,Kendrick Lamar,Auntie Diaries,3
2022-05,1502,feybmertn,2022-05,Bluewerks,Cantaloupe Island - Spotify Singles,2
2022-06,1728,feybmertn,2022-06,Chris Brown,Forever,5
2022-06,1748,feybmertn,2022-06,Doja Cat,Kiss Me More (feat. SZA),4
2022-06,1941,feybmertn,2022-06,Logic,Bleed It,4
2022-06,1995,feybmertn,2022-06,POop Man,La chanson du caca,4
2022-06,2027,feybmertn,2022-06,Post Malone,I Cannot Be (A Sadder Song) (with Gunna),4
2022-07,2285,feybmertn,2022-07,Drake,Finesse,5
2022-07,2447,feybmertn,2022-07,OneRepublic,Love Runs Out,4
2022-07,2246,feybmertn,2022-07,Calvin Harris,Feel So Close,3
2022-07,2172,feybmertn,2022-07,2nd South Carolina String Band,Oh! Susanna,2
2022-07,2259,feybmertn,2022-07,DJ Khaled,POPSTAR (feat. Drake),2
