,mbid,Song,Artist,Album,Date,Year,Month
0,2177b68b-6634-4041-8c08-2506052ecfed,Citylights,Max Elto,Taped Rai EP,2022-11-10 07:35:00,2022,11
1,,The Frowner,Joey Pecoraro,The Frowner,2022-11-09 18:19:00,2022,11
2,047386a3-20a4-4410-9574-4a58a49769eb,Cruel Summer,Taylor Swift,Lover,2022-11-09 16:59:00,2022,11
3,,C'est pas d'ma faute c'est l'mood,Chinwvr,L'été sans fin,2022-11-09 16:55:00,2022,11
4,,Old Town Road (8 Bit Version),8 Bit Universe,Lit 8 Bits,2022-11-09 12:44:00,2022,11
5,,Blinding Lights (8 Bit Version),8 Bit Universe,Droppin' Boppers,2022-11-09 12:41:00,2022,11
6,,Sunflower (Spiderman Into the Spider-Verse) [8 Bit Version],8 Bit Universe,Chip Drip,2022-11-09 12:37:00,2022,11
7,608a1a82-128a-45d6-ae49-ee5911ddb5e3,Super Mario Bros. Theme,Video Game Players,Classic Video Game Songs,2022-11-09 12:36:00,2022,11
8,608a1a82-128a-45d6-ae49-ee5911ddb5e3,Super Mario Bros. Theme,Video Game Players,Classic Video Game Songs,2022-11-09 12:34:00,2022,11
9,608a1a82-128a-45d6-ae49-ee5911ddb5e3,Super Mario Bros. Theme,Video Game Players,Classic Video Game Songs,2022-11-09 12:33:00,2022,11
10,31fbf393-98b5-4071-934b-838f8514d948,Closer,The Chainsmokers,Closer,2022-11-09 12:12:00,2022,11
11,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-09 12:09:00,2022,11
12,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 17:26:00,2022,11
13,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 17:21:00,2022,11
14,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 17:18:00,2022,11
15,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 17:14:00,2022,11
16,,Open Eyes,Super Duper,Vessels - EP,2022-11-08 12:52:00,2022,11
17,31fbf393-98b5-4071-934b-838f8514d948,Closer,The Chainsmokers,Closer,2022-11-08 12:48:00,2022,11
18,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 12:44:00,2022,11
19,667f76a1-2d91-4989-9580-90d6634b5643,Fly Away With Me,Tom Walker,Fly Away With Me,2022-11-08 12:41:00,2022,11
20,,Scars To Your Beautiful - Joe Mason Remix,Alessia Cara,Scars To Your Beautiful (Remixes),2022-11-08 12:37:00,2022,11
21,31fbf393-98b5-4071-934b-838f8514d948,Closer,The Chainsmokers,Closer,2022-11-08 12:33:00,2022,11
22,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-08 12:29:00,2022,11
23,2683b2c3-737a-4e9a-bb4a-838b9179afb4,Cudi Montage,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2022-11-08 12:25:00,2022,11
