,mbid,Song,Artist,Album,Date,Year,Month
0,bcfb3781-1f99-4e23-a9c4-9c105a3d31b1,Bed Head,Joey Pecoraro,Deep in a Dream of You,2022-11-10 14:35:00,2022,11
1,1b44632e-87d7-47a3-9c90-549b8f28dc11,Your Favorite Place,Joey Pecoraro,Chillhop Essentials Winter 2017,2022-11-10 14:26:00,2022,11
2,4cbcc48c-cf34-472c-814b-86e1d83195e6,Half Awake,Joey Pecoraro,Half Awake,2022-11-10 14:22:00,2022,11
3,b1770bb3-b0c3-4077-b139-59a7ed8c517c,Warm,Joey Pecoraro,Little Pear,2022-11-10 14:20:00,2022,11
4,2165d34c-b837-411c-b97f-1c94f0cf904b,Finding Parking,Joey Pecoraro,Tired Boy,2022-11-10 14:17:00,2022,11
5,,The Shaman,Joey Pecoraro,The Shaman,2022-11-10 14:15:00,2022,11
6,,You Never Told Me That,Joey Pecoraro,You Never Told Me That,2022-11-10 14:12:00,2022,11
7,,The Roman,Joey Pecoraro,The Roman,2022-11-10 14:09:00,2022,11
8,257b6a0a-9d31-4710-86c0-67cf34c0793e,Tired Boy,Joey Pecoraro,Tired Boy,2022-11-10 14:05:00,2022,11
9,42b557fc-078a-4207-b670-bb2a59d97808,How Many Times?,Joey Pecoraro,How Many Times?,2022-11-10 14:01:00,2022,11
10,772af349-5d6a-43f3-af93-a27f9f6466ff,Your eyes,Joey Pecoraro,Little Pear,2022-11-10 13:58:00,2022,11
11,,No Faith in Brooklyn (feat. Jhameel),Hoodie Allen,All American,2022-11-10 13:19:00,2022,11
12,,Opposite of Adults,Chiddy Bang,The Preview,2022-11-10 13:16:00,2022,11
13,,Drug Dealer (feat. Ariana DeBoo),Macklemore,Drug Dealer (feat. Ariana DeBoo),2022-11-10 13:12:00,2022,11
14,,White Privilege II (feat. Jamila Woods),Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-10 13:04:00,2022,11
15,,Bolo Tie (Feat. YG),Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-10 12:43:00,2022,11
16,,Let's Eat (feat. Xperience),Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-10 12:40:00,2022,11
17,,Old Roots New Trees,Made in M,Nest,2022-11-10 03:41:00,2022,11
18,,tonight,Guru Griff,Apex,2022-11-10 03:40:00,2022,11
19,f0eda11a-017b-4d41-b471-f3eca6364cf9,Ocean Morning,Jaeden Camstra,Nimbus EP,2022-11-10 03:38:00,2022,11
20,,pure imagination,Bassti,Winter - EP,2022-11-10 03:37:00,2022,11
21,,together,Boxboys,together,2022-11-10 03:35:00,2022,11
22,1edd1437-9d88-41ef-806e-f7d3c0ea6e24,people,Moow,I can't tell you how much it hurts,2022-11-10 03:33:00,2022,11
23,,The Best Moment,J'San,The Best Moment,2022-11-10 03:32:00,2022,11
