,mbid,Song,Artist,Album,Date,Year,Month,User
665,,Ear Candy,Caye,Ear Candy,2022-10-31 14:01:00,2022,10,wuhuspringfield
666,,Sound 4 U X Be Mine,EMBRZ,Sound 4 U X Be Mine,2022-10-31 13:58:00,2022,10,wuhuspringfield
667,,Expectations,Taska Black,Expectations,2022-10-31 13:56:00,2022,10,wuhuspringfield
668,,Waves,Kidswaste,Waves,2022-10-31 13:53:00,2022,10,wuhuspringfield
669,,LOSING YOU,bear bear & friends,LOSING YOU,2022-10-31 13:50:00,2022,10,wuhuspringfield
670,,Captions,Julia Wolf,Captions,2022-10-31 13:49:00,2022,10,wuhuspringfield
671,,WARMTH,Ford.,(The) Evening,2022-10-31 13:46:00,2022,10,wuhuspringfield
672,,Home,Kidswaste,Colors of Your Heart,2022-10-31 13:43:00,2022,10,wuhuspringfield
673,,Someone Else (Keanler Remix),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:40:00,2022,10,wuhuspringfield
674,,Waiting For (with slenderbodies) (GUDFELLA Remix),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:38:00,2022,10,wuhuspringfield
675,,Amnesia (with Nightly) (EMBRZ Remix),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:34:00,2022,10,wuhuspringfield
676,,I Still Need You (Disco Lines Remix),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:32:00,2022,10,wuhuspringfield
677,,Right For You,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:29:00,2022,10,wuhuspringfield
678,,I'll Wait for You,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:26:00,2022,10,wuhuspringfield
679,,Less Alone (with Quinn XCII),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:23:00,2022,10,wuhuspringfield
680,71827237-94ba-41e2-88a3-4fac27ddd6b4,If That's What You Need,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:20:00,2022,10,wuhuspringfield
681,,Close Your Eyes and Dream of Falling,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:15:00,2022,10,wuhuspringfield
682,,Waiting For (with slenderbodies),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:12:00,2022,10,wuhuspringfield
683,3923d313-61a6-4c2d-8a36-73a823f2d483,Somebody Loves You,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:09:00,2022,10,wuhuspringfield
684,3ce244cb-b9c9-4c29-a5e3-ade3a694d9a3,I Still Need You,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:06:00,2022,10,wuhuspringfield
685,fc0655bc-8615-4dcf-819a-34c35af2e509,Someone Else,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:03:00,2022,10,wuhuspringfield
686,ebd25a0a-739c-42b3-85bf-9edc2a36454d,Oxygen,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 13:00:00,2022,10,wuhuspringfield
687,c5612631-0452-45f9-932d-433c61a8e4b2,All Mine,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 12:57:00,2022,10,wuhuspringfield
688,,I’ll Be Alright (with Stay Over),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 12:53:00,2022,10,wuhuspringfield
689,,Amnesia (with Nightly),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 12:26:00,2022,10,wuhuspringfield
690,,I’ll Be Alright (with Stay Over),AyokAy,Digital Dreamscape (Deluxe),2022-10-31 12:23:00,2022,10,wuhuspringfield
691,b462b0fd-7016-4cde-b775-70ca9455b1a9,Better With You,AyokAy,Digital Dreamscape (Deluxe),2022-10-31 12:20:00,2022,10,wuhuspringfield
692,47a412d8-ed01-4e24-a703-8adae4fd6846,bounty hunter,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",2022-10-31 01:39:00,2022,10,wuhuspringfield
693,,Falling Slowly,VWILLZ,Falling Slowly,2022-10-31 01:36:00,2022,10,wuhuspringfield
694,,perfect pair,Unodavid,Perfect Pair,2022-10-31 01:34:00,2022,10,wuhuspringfield
695,,Tanaka 2,Joey Valence & Brae,Tanaka 2,2022-10-31 01:34:00,2022,10,wuhuspringfield
696,,sew it up,Oliver Francis,pond scum,2022-10-30 22:56:00,2022,10,wuhuspringfield
697,,mr. sunshine,yxngxr1,mr. sunshine,2022-10-30 22:55:00,2022,10,wuhuspringfield
698,,fmk (with blackbear) - messier,GAYLE,fmk (with blackbear) [messier],2022-10-30 22:51:00,2022,10,wuhuspringfield
699,,Heaven Sent (feat. Wiz Khalifa),Taylor Gang,G Rage,2022-10-30 22:48:00,2022,10,wuhuspringfield
700,,Anti-Hero,Taylor Swift,Midnights (3am Edition),2022-10-30 22:45:00,2022,10,wuhuspringfield
701,,Right For You,AyokAy,Digital Dreamscape (Deluxe),2022-10-30 22:41:00,2022,10,wuhuspringfield
702,,Falling Back,Myrne,Falling Back,2022-10-30 22:36:00,2022,10,wuhuspringfield
703,,Falling Back,Myrne,Falling Back,2022-10-30 22:32:00,2022,10,wuhuspringfield
704,dcd4398d-d11e-436f-b701-20b3a7f82fb6,In My Head,Juice WRLD,In My Head,2022-10-30 20:28:00,2022,10,wuhuspringfield
705,,potentially fatal,Ty Lorenzo,21,2022-10-30 19:23:00,2022,10,wuhuspringfield
706,,Demonslayer,Elroy,Demonslayer,2022-10-30 19:21:00,2022,10,wuhuspringfield
707,,raze,Ty Lorenzo,raze // lacuna,2022-10-30 19:18:00,2022,10,wuhuspringfield
708,1c450a67-380e-4c39-af33-60bd270c9e1a,SAME ENERGY,The Kid LAROI,F*CK LOVE 3: OVER YOU,2022-10-30 19:17:00,2022,10,wuhuspringfield
709,dcd4398d-d11e-436f-b701-20b3a7f82fb6,In My Head,Juice WRLD,In My Head,2022-10-30 18:54:00,2022,10,wuhuspringfield
710,,Options (feat. 24kGoldn),Internet Money,Options (feat. 24kGoldn),2022-10-30 18:46:00,2022,10,wuhuspringfield
711,,Blue,Maj,The Exotic Party,2022-10-30 18:44:00,2022,10,wuhuspringfield
712,24ed7641-bcc6-44d5-9723-9eefa0ac13e5,Tenenbaum,The Paper Kites,States,2022-10-30 18:40:00,2022,10,wuhuspringfield
713,dd85b50d-29c5-4c3f-95e0-b20804f1e301,The Only One,Benny Sings,The Only One,2022-10-30 18:36:00,2022,10,wuhuspringfield
714,,Giving It Up,Rikas,Goodbye Sunshine,2022-10-30 18:32:00,2022,10,wuhuspringfield
715,,Mein Bestes,Wilhelmine,Wind,2022-10-30 18:30:00,2022,10,wuhuspringfield
716,,Down The Line,Alison Wonderland,Down The Line,2022-10-30 18:27:00,2022,10,wuhuspringfield
717,,Old Love,Bob Moses,Old Love / The Silence in Between,2022-10-30 18:23:00,2022,10,wuhuspringfield
718,,ich vermiss dich <3,Revelle,ich vermiss dich <3,2022-10-30 18:21:00,2022,10,wuhuspringfield
719,ed64a915-be8c-485e-89fe-d68da2aedcc9,Mother,Matt Maltese,Mother,2022-10-30 18:18:00,2022,10,wuhuspringfield
720,,Blisters,Dylan,The Greatest Thing I’ll Never Learn,2022-10-30 18:14:00,2022,10,wuhuspringfield
721,,Down The Line,Alison Wonderland,Down The Line,2022-10-30 18:11:00,2022,10,wuhuspringfield
722,,Beautiful Morning,Elderbrook,Beautiful Morning,2022-10-30 18:08:00,2022,10,wuhuspringfield
723,,More To This Life,Max Giesinger,More To This Life,2022-10-30 18:05:00,2022,10,wuhuspringfield
724,,Unwritten,Natasha Bedingfield,Unwritten,2022-10-30 18:01:00,2022,10,wuhuspringfield
725,,fantasize,ericdoa,fantasize,2022-10-30 16:08:00,2022,10,wuhuspringfield
726,37a72217-e2dc-43f9-b8e6-3f4791e430a7,i think you're really cool,Guardin,i think you're really cool,2022-10-30 16:05:00,2022,10,wuhuspringfield
727,,FEEL SOMETHING (feat. Marshmello),The Kid LAROI,F*CK LOVE (SAVAGE),2022-10-30 16:03:00,2022,10,wuhuspringfield
728,,FEEL SOMETHING (feat. Marshmello),The Kid LAROI,F*CK LOVE (SAVAGE),2022-10-30 15:57:00,2022,10,wuhuspringfield
729,dcd4398d-d11e-436f-b701-20b3a7f82fb6,In My Head,Juice WRLD,In My Head,2022-10-30 15:30:00,2022,10,wuhuspringfield
730,0841d456-7493-4555-92ed-f7cbbeac4c31,People Everywhere (Still Alive),Khruangbin,The Universe Smiles Upon You,2022-10-30 14:44:00,2022,10,wuhuspringfield
731,,More Than Life (Feat. Glaive),Machine Gun Kelly,mainstream sellout (life in pink deluxe),2022-10-30 14:01:00,2022,10,wuhuspringfield
732,,Self Sabotage,MASN,Self Sabotage,2022-10-30 13:59:00,2022,10,wuhuspringfield
733,1c450a67-380e-4c39-af33-60bd270c9e1a,SAME ENERGY,The Kid LAROI,F*CK LOVE 3: OVER YOU,2022-10-30 13:57:00,2022,10,wuhuspringfield
734,,big,Koi,10&2,2022-10-30 13:55:00,2022,10,wuhuspringfield
735,,lacuna,Ty Lorenzo,raze // lacuna,2022-10-30 00:35:00,2022,10,wuhuspringfield
736,,sequoia,Ty Lorenzo,sequoia,2022-10-30 00:34:00,2022,10,wuhuspringfield
737,,undo,Ty Lorenzo,undo,2022-10-30 00:31:00,2022,10,wuhuspringfield
738,,ARIZONA,Monto,ARIZONA,2022-10-30 00:29:00,2022,10,wuhuspringfield
739,,ifls,Aldn,ifls,2022-10-30 00:21:00,2022,10,wuhuspringfield
740,3926e966-0e54-4c0f-9288-524b32bccbaf,iMi,Bon Iver,"i,i",2022-10-30 00:13:00,2022,10,wuhuspringfield
741,,i wouldn't mind at all,Censthetic,i wouldn't mind at all,2022-10-30 00:08:00,2022,10,wuhuspringfield
742,cb50d70f-58c2-4e4e-91fc-d4068ce4e1c5,white ceilings,whiterosemoxie,white ceilings,2022-10-29 19:15:00,2022,10,wuhuspringfield
